relation	word1	pos1	word2	pos2
meronym	晚間	Nd	晚	Nd
hypernym	飲料	Na	食物	Na
hypernym	植	VC	栽	VC
hypernym	派	Na	食物	Na
antonym	禁止	VE	禁不住	VL
antonym	哥哥	Na	弟	Na
hypernym	中華	Nc	地方	Nc
antonym	存	VH	逝	VH
antonym	西式	A	東方	Ncd
antonym	左邊	Ncd	右	Ncd
hypernym	回	VC	恢復	VHC
antonym	落	VA	領先	VJ
hypernym	紀錄片	Na	作品	Na
hypernym	遊行	VA	遊	VCL
antonym	潔	VH	污	VH
meronym	種子	Na	植物	Na
synonym	不僅僅	Cbb	不單單	Cbb
antonym	男性	Na	女性	Na
hypernym	斥	VC	費	VJ
synonym	冥冥之中	Nd	冥冥中	Nd
hypernym	老朋友	Na	關係	Na
antonym	過往	Nd	以往	Nd
hypernym	賺	VC	收入	VC
hypernym	濃	Nb	名稱	Na
synonym	絕大部份	Neqa	絕大部分	Neqa
antonym	閉	VC	始	VH
hypernym	轉為	VG	入	VCL
hypernym	學校	Nc	組織	Na
hypernym	站	Na	網路	Na
hypernym	圖	Na	名稱	Na
synonym	全心	D	一心一意	D
hypernym	線	Na	通訊	Na
hypernym	弓	Na	名稱	Na
hypernym	爸爸	Na	關係	Na
co-hyponym	元	Nd	漢	Nd
antonym	閉	VC	啟	VC
hypernym	調查員	Na	工作	Na
hypernym	中央	Ncd	位置	Nc
hypernym	煩憂	VH	悲傷	VH
hypernym	看見	VE	覽	VC
hypernym	畫糖	Na	餐點	Na
hypernym	獎狀	Na	固體	Na
hypernym	飯店	Na	地方	Nc
hypernym	英	Nb	語言	Na
antonym	公	Na	娘	Na
antonym	跟不上	VJ	領先	VJ
antonym	那樣	Nep	這樣	Nep
hypernym	抑鬱	VH	悲傷	VH
antonym	下臺	VA	上台	VA
antonym	過往	VA	存	VH
antonym	順道	D	特	D
hypernym	悲切	VH	悲傷	VH
synonym	些許	Neqa	有一點	Dfa
meronym	歌手	Na	人	Na
synonym	甚或	D	甚至於	D
antonym	入	VCL	出來	VA
antonym	高於	VJ	低於	VJ
hypernym	宿舍	Nc	建築物	Na
antonym	進	VCL	出去	VA
hypernym	訊息	Na	知識	Na
antonym	母親	Na	爸爸	Na
antonym	銳	VH	鈍	VH
hypernym	罐頭	Na	食物	Na
antonym	寬	VH	狹隘	VH
co-hyponym	書	Na	琴	Na
antonym	捷徑	Na	遠路	Na
antonym	不行	VH	能	VL
hypernym	垃圾	Na	廢物	Na
hypernym	驚訝	VK	情緒	Na
hypernym	最近	Nd	時間	Na
hypernym	拉	VC	解	VC
hypernym	高中	Nc	學校	Nc
hypernym	柴	Nb	名稱	Na
hypernym	學院	Nc	組織	Na
antonym	之上	Ng	下面	Ncd
antonym	後面	Ncd	前方	Ncd
co-hyponym	經	Na	史	Na
synonym	源於	VJ	來自於	VJ
hypernym	魯	Nc	地方	Nc
synonym	組合成	VG	合成	VG
hypernym	記錄片	Na	作品	Na
hypernym	魯	Nc	食物	Na
hypernym	桂	Na	植物	Na
hypernym	才藝	Na	才能	Na
hypernym	便	D	就	D
hypernym	贈	VD	賦	VD
synonym	有點	Dfa	有一點	Dfa
hypernym	斗	Nb	名稱	Na
synonym	許許多多	Neqa	好些	Neqa
synonym	考慮到	VE	顧及	VE
synonym	一塊兒	D	一起	D
hypernym	總務處	Nc	組織	Na
hypernym	梗	VA	卡	VA
synonym	搞不好	D	說不定	D
co-hyponym	白	Na	黃	Na
synonym	比方說	P	譬如	P
hypernym	紫外線	Na	物理	Na
synonym	幹什麼	D	幹嗎	D
antonym	昇高	VA	低	VH
hypernym	吸食	VC	吃	VC
hypernym	盛	VC	裝	VC
synonym	如果說	Cbb	如若	Cbb
synonym	多多	VH	好多	Neqa
co-hyponym	先生	Na	小姐	Na
co-hyponym	樂	Na	行	Na
hypernym	眼	Na	器官	Na
antonym	縮短	VH	延長	VH
co-hyponym	東德	Nc	西德	Nc
hypernym	吸毒	VA	吃	VC
hypernym	瓷	Na	素材	Na
meronym	週末	Nd	時間	Na
hypernym	台南	Nc	行政區	Na
hypernym	對	VH	評價	VA
co-hyponym	里	Nc	村	Nc
hypernym	乘坐	VC	坐	VC
antonym	占有	VJ	沒	VJ
hypernym	方法	Na	法則	Na
hypernym	上海	Nc	城市	Na
hypernym	糕	Na	點心	Na
antonym	姐妹	Na	弟兄	Na
hypernym	配	VC	調	VC
synonym	記下來	VB	背	VC
synonym	大夥兒	Nh	大夥	Nh
synonym	俄	Nd	轉眼之間	Nd
hypernym	東西	Ncd	位置	Nc
antonym	之上	Ng	以下	Ng
hypernym	博物館	Na	建築物	Na
hypernym	反感	Na	生氣	VH
hypernym	零	Neu	數字	Na
synonym	更何況	Cbb	況且	Cbb
antonym	降	VA	增長	VH
antonym	之前	Nd	后	Nd
hypernym	桂	Nc	地方	Nc
synonym	全心	D	全心全意	D
hypernym	微生物	Na	生物	Na
hypernym	雨林	Na	森林	Na
co-hyponym	右	Ncd	下	Ncd
hypernym	統一	VHC	方法	Na
synonym	如果說	Cbb	倘若	Cbb
hypernym	致使	VL	導致	VL
hypernym	外貌	Na	特徵	Na
hypernym	稻	Na	植物	Na
hypernym	東北	Ncd	區域	Na
hypernym	憤慨	VH	生氣	VH
hypernym	館	Nc	場所	Na
hypernym	清	VH	聲音	Na
synonym	有一點兒	Dfa	有些	Dfa
hypernym	後面	Ncd	位置	Nc
hypernym	省	Nc	區域	Na
hypernym	凌	Na	地形	Na
hypernym	歲	Nb	名稱	Na
hypernym	陶醉	VH	沉醉	VI
hypernym	食物	Na	產物	Na
hypernym	敦聘	VF	聘任	VF
hypernym	建築物	Na	產物	Na
hypernym	蒙古	Nc	國家	Na
antonym	上面	Ncd	下面	Ncd
synonym	出於	VJ	來自於	VJ
synonym	師院	Nc	師範學院	Nc
synonym	大都	D	大多	Neqa
hypernym	供	Na	訊息	Na
synonym	只不過	Da	僅	Da
co-hyponym	水瓶座	Nb	雙子座	Nb
hypernym	剁	VC	劈	VC
antonym	男子	Na	女人	Na
hypernym	贈送	VD	給	VD
co-hyponym	女	Nb	壁	Nb
co-hyponym	馬	Na	車	Na
hypernym	指引	Na	訊息	Na
co-hyponym	點	Na	直	Na
synonym	當成	VG	當作	VG
hypernym	機構	Na	組織	Na
meronym	之後	Nd	時間	Na
hypernym	姐妹	Na	關係	Na
co-hyponym	韓	Nb	秦	Nd
hypernym	夜	Nd	時間	Na
synonym	譬如說	P	比方	P
antonym	沒有	VJ	有	V_2
synonym	鑒於	Cbb	有鑑於	Cbb
synonym	如果說	Cbb	倘	Cbb
co-hyponym	妹妹	Na	哥哥	Na
hypernym	碗	Na	器具	Na
synonym	兔子	Na	兔	Na
meronym	內	Ncd	空間	Na
synonym	少許	Neqa	一點點	Neqa
hypernym	光電	Na	物理	Na
synonym	以外	Ng	除此之外	Dk
co-hyponym	義	Na	仁	Na
synonym	然而	Cbb	只不過	Cbb
meronym	梅子	Na	梅花樹	Na
hypernym	躺	VJ	休息	VA
meronym	以前	Nd	時間	Na
hypernym	尺	Na	工具	Na
co-hyponym	天秤座	Nb	巨蟹座	Nb
hypernym	衣服	Na	服飾	Na
hypernym	經費	Na	金錢	Na
synonym	比方說	P	譬如說	P
hypernym	有心人士	Na	人	Na
hypernym	上學	VA	上	VCL
hypernym	公分	Nf	單位	Na
meronym	沙國	Nc	亞洲	Nc
co-hyponym	水瓶座	Nb	牡羊座	Nb
co-hyponym	思念	VJ	牽掛	VJ
hypernym	負債	VJ	財務	Na
hypernym	赤紅	Na	顏色	Na
hypernym	有心人	Na	人	Na
hypernym	棍子	Na	棒	Na
antonym	不良	VH	好	VH
co-hyponym	小	VH	便	VA
co-hyponym	過去	Nd	未來	Nd
synonym	一塊兒	D	共同	D
hypernym	芝加哥	Nc	城市	Na
hypernym	教	VC	工作	Na
hypernym	過去	VA	消失	VA
hypernym	坊間	Nc	店	Nc
synonym	比如說	P	比方	P
hypernym	駒	Na	車子	Na
hypernym	學術	Na	知識	Na
hypernym	阿拉伯數字	Na	符號	Na
co-hyponym	款	Na	目	Na
antonym	這裡	Ncd	那	Ncd
synonym	換句話說	Dk	易言之	Dk
hypernym	技	Na	才能	Na
hypernym	營	Nf	單位	Na
hypernym	帝	Na	君	Na
hypernym	會議	Na	集會	VA
synonym	祇是	D	只不過	Da
hypernym	時	Nf	單位	Na
hypernym	規定	Na	制度	Na
synonym	不止	Da	不祇	Da
hypernym	後來	Nd	時間	Na
co-hyponym	雙子座	Nb	獅子座	Nb
hypernym	週年	Nf	單位	Na
synonym	觀音	Nb	觀世音	Nb
hypernym	市	Nc	地方	Nc
hypernym	碗	Na	容器	Na
hypernym	點心	Na	食物	Na
synonym	可	Cbb	祇不過	Da
synonym	那麼多	VH	這麼多	VH
synonym	甚至	D	甚至於	D
antonym	存	VH	歿	VH
hypernym	輩	Na	代	Na
hypernym	考試	VA	制度	Na
hypernym	準決賽	Na	比賽	Na
hypernym	愛	VC	情感	Na
hypernym	震怒	VH	生氣	VH
co-hyponym	車	Na	馬	Na
hypernym	比賽	Na	活動	Na
synonym	許許多多	Neqa	許多	Neqa
hypernym	過去	Nd	時間	Na
co-hyponym	宋	Nd	唐	Nd
co-hyponym	空	Na	陸	Na
hypernym	曲	Na	作品	Na
antonym	之前	Ng	之后	Ng
synonym	提起	VE	講到	VE
hypernym	糕點	Na	食物	Na
co-hyponym	魏	Nb	趙	Nb
synonym	抱歉	VK	對不起	VA
antonym	專職	A	兼職	A
meronym	梅	Na	梅樹	Na
meronym	尼泊爾	Nc	亞洲	Nc
hypernym	陳	VC	展示	VC
co-hyponym	右	Ncd	后	Ncd
hypernym	跳板	Na	設備	Na
synonym	乃至於	Cbb	甚或	D
hypernym	骨	Na	器官	Na
synonym	有一點	Dfa	有一點點	Dfa
co-hyponym	南	Ncd	北	Ncd
hypernym	依賴	VK	靠	VJ
synonym	還不如	VJ	比不上	VJ
antonym	女兒	Na	兒	Na
co-hyponym	陳	Nd	宋	Nd
hypernym	東亞	Nc	文化	Na
antonym	部份	Neqa	整	Neqa
hypernym	警局	Nc	機構	Na
hypernym	鼓	Na	樂器	Na
hypernym	吟	Na	作品	Na
hypernym	蛋	Na	食物	Na
hypernym	花園	Nc	地方	Nc
meronym	條約	Na	合約	Na
synonym	些許	Neqa	一點點	Neqa
hypernym	贈送	VD	送	VD
synonym	這樣一來	Dk	如此一來	Dk
meronym	晨間	Nd	時間	Na
co-hyponym	商	Nd	漢	Nd
hypernym	書	Nb	名稱	Na
hypernym	族	Na	族群	Na
co-hyponym	觀	Na	離	Nb
hypernym	江	Nb	名稱	Na
antonym	便利	VH	不便	VH
synonym	率	VF	帥	VF
co-hyponym	梅	Na	蘭	Na
hypernym	城市	Na	國家	Na
hypernym	盛開	VH	開	VH
hypernym	請教	VE	問	VE
co-hyponym	商	Nd	夏	Nd
hypernym	盛開	VH	開放	VH
hypernym	軟性	A	狀況	Na
hypernym	臺南	Nc	行政區	Na
antonym	佳	VH	差	VH
antonym	後	Nd	以往	Nd
co-hyponym	物	Na	實體	Na
co-hyponym	橫	Na	點	Na
synonym	如果說	Cbb	假若	Cbb
hypernym	言行	Na	心靈	Na
synonym	當成	VG	當做	VG
hypernym	使得	VL	引致	VL
hypernym	招致	VL	引致	VL
hypernym	財	Na	金錢	Na
hypernym	交通工具	Na	交通	Na
hypernym	禮服	Na	服飾	Na
synonym	孰料	Dk	沒想到	Dk
synonym	不可	D	不可以	D
hypernym	台北	Nb	組織	Na
co-hyponym	虎	Na	羊	Na
antonym	關閉	VC	開	VC
antonym	烏	A	白	VH
hypernym	站	VA	立	VA
antonym	此	Ncd	那邊	Ncd
antonym	進	VA	退	VA
hypernym	圖畫	Na	畫	Na
antonym	虛	VH	真	VH
antonym	爸爸	Na	娘	Na
hypernym	念書	VA	念	VC
antonym	出來	VA	入	VCL
hypernym	地面	Na	天體	Na
antonym	父	Na	母親	Na
co-hyponym	馬	Na	象	Na
synonym	張三	Nb	某某	Nb
hypernym	餐點	Na	食物	Na
synonym	許許多多	Neqa	多多	VH
synonym	照理	D	照道理說	Dk
synonym	就是說	Dk	亦即	VG
hypernym	粒	Nf	單位	Na
antonym	母親	Na	父親	Na
hypernym	看見	VE	看	VC
hypernym	姑	Na	關係	Na
hypernym	金	Na	素材	Na
antonym	那兒	Ncd	這	Ncd
hypernym	固體	Na	物質	Na
hypernym	禮物	Na	物	Na
hypernym	基督	Nb	宗教	Na
co-hyponym	赤	Na	青	Na
synonym	吃下去	VC	吃掉	VC
synonym	一點兒	Neqa	些許	Neqa
synonym	翻譯成	VG	譯	VC
hypernym	警員	Na	警察	Na
synonym	一點	Neqa	一點兒	Neqa
synonym	亞運	Nb	亞運會	Nb
synonym	孰料	Dk	想不到	Dk
synonym	些	Nf	一點兒	Neqa
antonym	爹	Na	母親	Na
hypernym	悲苦	VH	悲傷	VH
synonym	中正	Nb	領袖	Na
co-hyponym	幼稚園	Nc	托兒所	Nc
hypernym	電影	Na	作品	Na
co-hyponym	火	Na	金	Na
hypernym	搬	VC	移動	VAC
hypernym	足跡	Na	訊息	Na
antonym	龍	Na	女兒	Na
antonym	婆	Na	公公	Na
antonym	後來	Nd	過往	Nd
co-hyponym	丁	Neu	乙	Neu
hypernym	贈送	VD	遺	VC
co-hyponym	房	Nb	角	Na
synonym	故宮博物院	Nb	故宮	Nc
synonym	剎那間	Nd	轉眼之間	Nd
co-hyponym	山	Na	山頭	Na
antonym	不忘	VK	忘	VK
co-hyponym	黑	Na	青	Na
antonym	只	Da	不只	Da
synonym	給予	VD	賦予	VD
antonym	直	VH	彎	VH
synonym	對不起	VA	抱歉	VK
antonym	公	Na	奶	Na
synonym	譬如	P	譬如說	P
synonym	劃分為	VG	分成	VG
hypernym	列	VC	展	VC
synonym	因何	D	為甚麼	D
antonym	更少	VH	更多	VH
hypernym	朝	Nc	國家	Na
antonym	全職	A	兼職	A
hypernym	政府	Na	國家	Na
antonym	果	Na	因	Na
hypernym	統一	Nv	見解	Na
hypernym	蛋糕	Na	糕點	Na
co-hyponym	象	Na	士	Na
hypernym	抽	VC	吸食	VC
antonym	逝	VA	生存	VH
antonym	過來	VA	過去	VA
meronym	月底	Nd	時間	Na
hypernym	送	VD	賦與	VD
antonym	國產	A	進口	A
co-hyponym	未來	Nd	現在	Nd
hypernym	印度洋	Nc	區域	Na
antonym	爸爸	Na	母	Na
hypernym	看到	VE	睹	VC
hypernym	想起	VC	想	VC
hypernym	盜版	Na	作品	Na
hypernym	難忘	VK	忘	VK
antonym	貴	VH	賤	VH
antonym	以外	Ng	裡頭	Ncd
antonym	單單	Da	不光	Da
meronym	前	Nd	時間	Na
hypernym	氣	VK	情緒	Na
antonym	以上	Ng	下面	Ncd
antonym	有幸	VH	不幸	VH
hypernym	剪紙	Na	作品	Na
hypernym	會員	Na	成員	Na
hypernym	裡面	Ncd	位置	Nc
antonym	昌	VH	死亡	VH
hypernym	包子	Na	點心	Na
antonym	過去	Nd	而後	D
antonym	潔	VH	垢	VH
hypernym	暴怒	VH	生氣	VH
hypernym	勺子	Na	器具	Na
antonym	出	VCL	進來	VA
hypernym	男子	Na	人類	Na
hypernym	警方	Na	組織	Na
hypernym	呼	VC	叫	VE
antonym	亮	VH	暗	VH
co-hyponym	將	Na	士	Na
antonym	夫	Na	女人	Na
synonym	易言之	Dk	換言之	Dk
synonym	吃	VC	吃下去	VC
hypernym	春	Nd	時間	Na
hypernym	畫家	Na	藝術家	Na
hypernym	孔融	Nb	人	Na
antonym	密	VH	差	VH
antonym	外國	Nc	國內	Nc
hypernym	組	Nf	單位	Na
hypernym	魚類	Na	水中生物	Na
hypernym	模	Na	職業	Na
synonym	小兩口兒	Nh	小倆口	Nh
hypernym	老師	Na	職業	Na
antonym	下面	Ncd	之上	Ng
hypernym	職業婦女	Na	女	Na
synonym	只不過	Da	只	Da
synonym	是	VG	就是說	Dk
synonym	除此以外	Dk	之餘	Ng
synonym	為甚麼	D	為什麼	D
antonym	北	Ncd	贏	VD
hypernym	氾濫草原	Na	地形	Na
synonym	外	Ng	除此之外	Dk
co-hyponym	狗	Na	馬	Na
synonym	轉眼之間	Nd	瞬	Nf
synonym	打	VC	打下來	VB
antonym	粉	Na	鴉	A
hypernym	廣州	Nc	行政區	Na
antonym	跌	VA	增長	VH
synonym	僅僅	Da	祇不過	Da
hypernym	育	VC	活動	Na
synonym	甚而	Cbb	乃至於	Cbb
antonym	重要	VH	輕	VH
synonym	許許多多	Neqa	很多	Neqa
hypernym	丁	Na	子	Na
co-hyponym	平	Na	愛	Na
antonym	男人	Na	女人	Na
antonym	之內	Ng	之外	Ng
co-hyponym	夏	Na	秋	Nd
hypernym	牛	Na	動物	Na
hypernym	設施	Na	產物	Na
hypernym	子孫	Na	關係	Na
hypernym	看見	VE	視	VC
hypernym	廚房	Nc	區域	Na
antonym	密	VH	弛	VH
hypernym	港	Nc	組織	Na
synonym	不禁	VL	禁不住	VL
synonym	有利於	VK	惠	VC
synonym	收入	VC	進	VG
antonym	後來	Nd	過去	Nd
hypernym	鼾聲	Na	聲音	Na
antonym	升級	VH	降	VA
co-hyponym	元	Nd	遼	Nd
synonym	以至	Cbb	乃至於	Cbb
synonym	婦女運動	Na	婦運	Na
synonym	暴	VA	曝	VA
synonym	建築物	Na	建築	Na
synonym	賦予	VD	賦與	VD
co-hyponym	愛	Na	望	Na
hypernym	牛郎	Na	天體	Na
hypernym	轉成	VG	入	VCL
hypernym	書	Na	產物	Na
synonym	不錯	VH	是	VH
antonym	部分	Neqa	渾	VH
hypernym	公里	Nf	單位	Na
synonym	小朋友	Na	兒童	Na
hypernym	報紙	Na	訊息	Na
co-hyponym	馬	Na	猴	Na
antonym	無所謂	VH	在乎	VK
hypernym	秩序	Na	狀況	Na
co-hyponym	天蠍座	Nb	雙魚座	Nb
hypernym	芥	Na	草	Na
antonym	捷	VH	失	VJ
synonym	台大	Nc	臺大	Nc
hypernym	警探	Na	職業	Na
antonym	全部	Neqa	部分	Neqa
antonym	出去	VA	進	VCL
synonym	而外	Ng	除此以外	Dk
hypernym	乘	VC	裝	VC
synonym	一家子	Nh	闔家	Nh
hypernym	幫助	VC	幫	VC
synonym	乃至於	Cbb	甚至	Cbb
hypernym	說詞	Na	舉止	Na
hypernym	略	Na	方法	Na
antonym	男子	Na	女生	Na
hypernym	櫻	Na	植物	Na
hypernym	政策	Na	法則	Na
hypernym	撒	VC	挫	VC
hypernym	桂	Nb	名稱	Na
meronym	中間	Ncd	空間	Na
hypernym	禽	Na	動物	Na
co-hyponym	清	Nd	隋	Nd
hypernym	資	Na	金錢	Na
hypernym	聽見	VE	聆	VC
antonym	奶	Na	公	Na
antonym	出來	VA	加入	VC
antonym	進入	VCL	出去	VA
co-hyponym	黃	Na	青	Na
co-hyponym	商	Nd	元	Nd
synonym	轉變為	VG	成為	VG
antonym	以內	Ng	之外	Ng
hypernym	杯	Nf	單位	Na
hypernym	蘭	Na	植物	Na
hypernym	奏	Na	作品	Na
hypernym	這麼樣	Dfa	如此	Dfa
synonym	總之	Dk	總括來說	Dk
antonym	後	Ng	以前	Ng
hypernym	溫帶草原	Na	地形	Na
antonym	死掉	VH	活	VH
synonym	只有	D	祇不過	Da
