relation	word1	word2
antonym	升	降
hypernym	焉能	哪
antonym	晉級	下降
hyponym	棍子	棒子
hypernym	總決賽	決賽
antonym	提高	下降
hypernym	季	時間
antonym	不要	要
nearsynonym	清	明
nearsynonym	頌	風
hypernym	畝	單位
antonym	輕聲	高聲
hyponym	階級	制度
antonym	之上	之下
synonym	以致	以致於
holonym	貸	財務
antonym	忙	閒
hypernym	附贈	賦
synonym	例如說	例如
hyponym	鞠躬	拜
antonym	打開	閉
antonym	柴	好
antonym	上山	下山
antonym	優	否
antonym	內部	外面
antonym	以前	以后
synonym	效力	效
antonym	輕	厚
hypernym	車	交通工具
hyponym	課堂	活動
hypernym	杜鵑	鳥
hyponym	水果	食物
antonym	父	媽媽
antonym	之外	內
synonym	拿出來	拿
hyponym	布	素材
hypernym	凍原	區域
hypernym	線	單位
hypernym	獎品	獎
antonym	媽媽	父
synonym	有時候	有時
synonym	盡可能	儘量
antonym	好	壞
hyponym	數量	物理
synonym	變成	轉變為
antonym	這裏	那裏
antonym	惡	好
nearsynonym	點	橫
hyponym	憂憤	悲傷
meronym	晚間	晚
hyponym	飲料	食物
hypernym	植	栽
hypernym	派	食物
antonym	禁止	禁不住
antonym	哥哥	弟
hypernym	中華	地方
antonym	存	逝
antonym	西式	東方
antonym	左邊	右
hypernym	回	恢復
antonym	落	領先
hyponym	紀錄片	作品
hyponym	遊行	遊
antonym	潔	污
meronym	種子	植物
synonym	不僅僅	不單單
antonym	男性	女性
hypernym	斥	費
synonym	冥冥之中	冥冥中
hypernym	老朋友	關係
antonym	過往	以往
hypernym	賺	收入
hyponym	濃	名稱
synonym	絕大部份	絕大部分
antonym	閉	始
hypernym	轉為	入
hypernym	學校	組織
hypernym	站	網路
hypernym	圖	名稱
synonym	全心	一心一意
hypernym	線	通訊
hyponym	弓	名稱
hypernym	爸爸	關係
nearsynonym	元	漢
antonym	閉	啟
hyponym	調查員	工作
hypernym	中央	位置
hyponym	煩憂	悲傷
hypernym	看見	覽
hypernym	畫糖	餐點
hyponym	獎狀	固體
hypernym	飯店	地方
hyponym	英	語言
antonym	公	娘
antonym	跟不上	領先
antonym	那樣	這樣
hypernym	抑鬱	悲傷
antonym	下臺	上台
antonym	過往	存
antonym	順道	特
hyponym	悲切	悲傷
synonym	些許	有一點
meronym	歌手	人
synonym	甚或	甚至於
antonym	入	出來
antonym	高於	低於
hyponym	宿舍	建築物
antonym	進	出去
hypernym	訊息	知識
antonym	母親	爸爸
antonym	銳	鈍
hypernym	罐頭	食物
antonym	寬	狹隘
nearsynonym	書	琴
antonym	捷徑	遠路
antonym	不行	能
hypernym	垃圾	廢物
hyponym	驚訝	情緒
hypernym	最近	時間
hyponym	拉	解
hyponym	高中	學校
hyponym	柴	名稱
hyponym	學院	組織
antonym	之上	下面
antonym	後面	前方
nearsynonym	經	史
synonym	源於	來自於
hypernym	魯	地方
synonym	組合成	合成
hyponym	記錄片	作品
hyponym	魯	食物
hypernym	桂	植物
hyponym	才藝	才能
hypernym	便	就
hypernym	贈	賦
synonym	有點	有一點
hyponym	斗	名稱
synonym	許許多多	好些
synonym	考慮到	顧及
synonym	一塊兒	一起
hyponym	總務處	組織
hypernym	梗	卡
synonym	搞不好	說不定
nearsynonym	白	黃
synonym	比方說	譬如
hyponym	紫外線	物理
synonym	幹什麼	幹嗎
antonym	昇高	低
hypernym	吸食	吃
hyponym	盛	裝
synonym	如果說	如若
synonym	多多	好多
nearsynonym	先生	小姐
nearsynonym	樂	行
hyponym	眼	器官
antonym	縮短	延長
nearsynonym	東德	西德
hypernym	吸毒	吃
hypernym	瓷	素材
meronym	週末	時間
hyponym	台南	行政區
hyponym	對	評價
nearsynonym	里	村
hyponym	乘坐	坐
antonym	占有	沒
hypernym	方法	法則
hypernym	上海	城市
hyponym	糕	點心
antonym	姐妹	弟兄
hypernym	配	調
synonym	記下來	背
synonym	大夥兒	大夥
synonym	俄	轉眼之間
hypernym	東西	位置
antonym	之上	以下
hyponym	博物館	建築物
hyponym	反感	生氣
hyponym	零	數字
synonym	更何況	況且
antonym	降	增長
antonym	之前	后
hypernym	桂	地方
synonym	全心	全心全意
hyponym	微生物	生物
hyponym	雨林	森林
nearsynonym	右	下
hyponym	統一	方法
synonym	如果說	倘若
hyponym	致使	導致
hypernym	外貌	特徵
hyponym	稻	植物
hyponym	東北	區域
hyponym	憤慨	生氣
hyponym	館	場所
hypernym	清	聲音
synonym	有一點兒	有些
hypernym	後面	位置
hyponym	省	區域
hyponym	凌	地形
hyponym	歲	名稱
hyponym	陶醉	沉醉
hyponym	食物	產物
hypernym	敦聘	聘任
hyponym	建築物	產物
hypernym	蒙古	國家
antonym	上面	下面
synonym	出於	來自於
synonym	師院	師範學院
synonym	大都	大多
hyponym	供	訊息
synonym	只不過	僅
nearsynonym	水瓶座	雙子座
hypernym	剁	劈
antonym	男子	女人
hyponym	贈送	給
nearsynonym	女	壁
nearsynonym	馬	車
hyponym	指引	訊息
nearsynonym	點	直
synonym	當成	當作
hypernym	機構	組織
meronym	之後	時間
hypernym	姐妹	關係
nearsynonym	韓	秦
hyponym	夜	時間
synonym	譬如說	比方
antonym	沒有	有
synonym	鑒於	有鑑於
synonym	如果說	倘
nearsynonym	妹妹	哥哥
hyponym	碗	器具
synonym	兔子	兔
holonym	內	空間
synonym	少許	一點點
hyponym	光電	物理
synonym	以外	除此之外
nearsynonym	義	仁
synonym	然而	只不過
holonym	梅子	梅花樹
hypernym	躺	休息
meronym	以前	時間
hyponym	尺	工具
nearsynonym	天秤座	巨蟹座
hyponym	衣服	服飾
hyponym	經費	金錢
synonym	比方說	譬如說
hyponym	有心人士	人
hyponym	上學	上
hyponym	公分	單位
meronym	沙國	亞洲
nearsynonym	水瓶座	牡羊座
nearsynonym	思念	牽掛
hyponym	負債	財務
hypernym	赤紅	顏色
hyponym	有心人	人
hyponym	棍子	棒
antonym	不良	好
nearsynonym	小	便
nearsynonym	過去	未來
synonym	一塊兒	共同
hypernym	芝加哥	城市
hyponym	教	工作
hypernym	過去	消失
hyponym	坊間	店
synonym	比如說	比方
hypernym	駒	車子
hypernym	學術	知識
hyponym	阿拉伯數字	符號
nearsynonym	款	目
antonym	這裡	那
synonym	換句話說	易言之
hyponym	技	才能
hypernym	營	單位
hypernym	帝	君
hyponym	會議	集會
synonym	祇是	只不過
hypernym	時	單位
hyponym	規定	制度
synonym	不止	不祇
hyponym	後來	時間
nearsynonym	雙子座	獅子座
hyponym	週年	單位
synonym	觀音	觀世音
hyponym	市	地方
hyponym	碗	容器
hypernym	點心	食物
synonym	可	祇不過
synonym	那麼多	這麼多
synonym	甚至	甚至於
antonym	存	歿
hypernym	輩	代
hyponym	考試	制度
hyponym	準決賽	比賽
hyponym	愛	情感
hypernym	震怒	生氣
nearsynonym	車	馬
hyponym	比賽	活動
synonym	許許多多	許多
hyponym	過去	時間
nearsynonym	宋	唐
nearsynonym	空	陸
hyponym	曲	作品
antonym	之前	之后
synonym	提起	講到
hyponym	糕點	食物
nearsynonym	魏	趙
synonym	抱歉	對不起
antonym	專職	兼職
meronym	梅	梅樹
meronym	尼泊爾	亞洲
hypernym	陳	展示
nearsynonym	右	后
hypernym	跳板	設備
synonym	乃至於	甚或
hyponym	骨	器官
synonym	有一點	有一點點
nearsynonym	南	北
hyponym	依賴	靠
synonym	還不如	比不上
antonym	女兒	兒
nearsynonym	陳	宋
hypernym	東亞	文化
antonym	部份	整
hyponym	警局	機構
hyponym	鼓	樂器
hypernym	吟	作品
hypernym	蛋	食物
hypernym	花園	地方
holonym	條約	合約
synonym	些許	一點點
hyponym	贈送	送
synonym	這樣一來	如此一來
meronym	晨間	時間
nearsynonym	商	漢
hyponym	書	名稱
hypernym	族	族群
nearsynonym	觀	離
hyponym	江	名稱
antonym	便利	不便
synonym	率	帥
nearsynonym	梅	蘭
hypernym	城市	國家
hypernym	盛開	開
hypernym	請教	問
nearsynonym	商	夏
hypernym	盛開	開放
hyponym	軟性	狀況
hypernym	臺南	行政區
antonym	佳	差
antonym	後	以往
nearsynonym	物	實體
nearsynonym	橫	點
synonym	如果說	假若
hyponym	言行	心靈
synonym	當成	當做
hyponym	使得	引致
hyponym	招致	引致
hyponym	財	金錢
hypernym	交通工具	交通
hypernym	禮服	服飾
synonym	孰料	沒想到
synonym	不可	不可以
hyponym	台北	組織
nearsynonym	虎	羊
antonym	關閉	開
antonym	烏	白
hypernym	站	立
antonym	此	那邊
antonym	進	退
hypernym	圖畫	畫
antonym	虛	真
antonym	爸爸	娘
hypernym	念書	念
antonym	出來	入
hyponym	地面	天體
antonym	父	母親
nearsynonym	馬	象
synonym	張三	某某
hyponym	餐點	食物
synonym	許許多多	多多
synonym	照理	照道理說
synonym	就是說	亦即
hypernym	粒	單位
antonym	母親	父親
hypernym	看見	看
hypernym	姑	關係
hypernym	金	素材
antonym	那兒	這
hypernym	固體	物質
hyponym	禮物	物
hypernym	基督	宗教
nearsynonym	赤	青
synonym	吃下去	吃掉
synonym	一點兒	些許
synonym	翻譯成	譯
hyponym	警員	警察
synonym	一點	一點兒
synonym	亞運	亞運會
synonym	孰料	想不到
synonym	些	一點兒
antonym	爹	母親
hyponym	悲苦	悲傷
synonym	中正	領袖
nearsynonym	幼稚園	托兒所
hyponym	電影	作品
nearsynonym	火	金
hypernym	搬	移動
hyponym	足跡	訊息
antonym	龍	女兒
antonym	婆	公公
antonym	後來	過往
nearsynonym	丁	乙
hypernym	贈送	遺
nearsynonym	房	角
synonym	故宮博物院	故宮
synonym	剎那間	轉眼之間
nearsynonym	山	山頭
antonym	不忘	忘
nearsynonym	黑	青
antonym	只	不只
synonym	給予	賦予
antonym	直	彎
synonym	對不起	抱歉
antonym	公	奶
synonym	譬如	譬如說
synonym	劃分為	分成
hypernym	列	展
synonym	因何	為甚麼
antonym	更少	更多
hypernym	朝	國家
antonym	全職	兼職
hypernym	政府	國家
antonym	果	因
hypernym	統一	見解
hypernym	蛋糕	糕點
nearsynonym	象	士
hypernym	抽	吸食
antonym	逝	生存
antonym	過來	過去
meronym	月底	時間
hyponym	送	賦與
antonym	國產	進口
nearsynonym	未來	現在
hyponym	印度洋	區域
antonym	爸爸	母
hypernym	看到	睹
hyponym	想起	想
hypernym	盜版	作品
hypernym	難忘	忘
antonym	貴	賤
antonym	以外	裡頭
antonym	單單	不光
meronym	前	時間
hyponym	氣	情緒
antonym	以上	下面
antonym	有幸	不幸
hyponym	剪紙	作品
hypernym	會員	成員
hypernym	裡面	位置
antonym	昌	死亡
hyponym	包子	點心
antonym	過去	而後
antonym	潔	垢
hypernym	暴怒	生氣
hyponym	勺子	器具
antonym	出	進來
hyponym	男子	人類
hypernym	警方	組織
hypernym	呼	叫
antonym	亮	暗
nearsynonym	將	士
antonym	夫	女人
synonym	易言之	換言之
synonym	吃	吃下去
hyponym	春	時間
hyponym	畫家	藝術家
hyponym	孔融	人
antonym	密	差
antonym	外國	國內
hypernym	組	單位
hyponym	魚類	水中生物
hyponym	模	職業
synonym	小兩口兒	小倆口
hyponym	老師	職業
antonym	下面	之上
hypernym	職業婦女	女
synonym	只不過	只
synonym	是	就是說
synonym	除此以外	之餘
synonym	為甚麼	為什麼
antonym	北	贏
hyponym	氾濫草原	地形
synonym	外	除此之外
nearsynonym	狗	馬
synonym	轉眼之間	瞬
synonym	打	打下來
antonym	粉	鴉
hyponym	廣州	行政區
antonym	跌	增長
synonym	僅僅	祇不過
hyponym	育	活動
synonym	甚而	乃至於
antonym	重要	輕
synonym	許許多多	很多
hypernym	丁	子
nearsynonym	平	愛
antonym	男人	女人
antonym	之內	之外
nearsynonym	夏	秋
hypernym	牛	動物
hyponym	設施	產物
hyponym	子孫	關係
hypernym	看見	視
hyponym	廚房	區域
antonym	密	弛
hypernym	港	組織
synonym	不禁	禁不住
synonym	有利於	惠
synonym	收入	進
antonym	後來	過去
hypernym	鼾聲	聲音
antonym	升級	降
nearsynonym	元	遼
synonym	以至	乃至於
synonym	婦女運動	婦運
synonym	暴	曝
synonym	建築物	建築
synonym	賦予	賦與
nearsynonym	愛	望
hyponym	牛郎	天體
hypernym	轉成	入
hyponym	書	產物
synonym	不錯	是
antonym	部分	渾
hyponym	公里	單位
synonym	小朋友	兒童
hypernym	報紙	訊息
nearsynonym	馬	猴
antonym	無所謂	在乎
hyponym	秩序	狀況
nearsynonym	天蠍座	雙魚座
hypernym	芥	草
antonym	捷	失
synonym	台大	臺大
hyponym	警探	職業
antonym	全部	部分
antonym	出去	進
synonym	而外	除此以外
hyponym	乘	裝
synonym	一家子	闔家
hyponym	幫助	幫
synonym	乃至於	甚至
hyponym	說詞	舉止
hyponym	略	方法
antonym	男子	女生
hyponym	櫻	植物
hypernym	政策	法則
hypernym	撒	挫
hyponym	桂	名稱
holonym	中間	空間
hypernym	禽	動物
nearsynonym	清	隋
hyponym	資	金錢
hypernym	聽見	聆
antonym	奶	公
antonym	出來	加入
antonym	進入	出去
nearsynonym	黃	青
nearsynonym	商	元
synonym	轉變為	成為
antonym	以內	之外
hypernym	杯	單位
hypernym	蘭	植物
hypernym	奏	作品
hypernym	這麼樣	如此
synonym	總之	總括來說
antonym	後	以前
hyponym	溫帶草原	地形
antonym	死掉	活
synonym	只有	祇不過
nearsynonym	水瓶座	天秤座
hyponym	二胡	樂器
synonym	以至	以至於
hyponym	住宅	房舍
hypernym	杜鵑	花
hypernym	悲鬱	悲傷
hyponym	杜鵑花	花
antonym	不能	成
antonym	減少	加
nearsynonym	春	冬
nearsynonym	馬	兔
antonym	濃	淡
hypernym	情誼	關係
hyponym	下雨	降
antonym	男生	女性
hypernym	買進	買下來
antonym	之后	之前
synonym	組合成	組成
hyponym	牙	器官
hypernym	促成	促使
hyponym	朱紅	顏色
hyponym	送客	送
antonym	悉數	部份
synonym	中華民族	中華
meronym	以后	時間
hyponym	辛酸	悲傷
nearsynonym	平	和
antonym	朝	夕
hyponym	森林	區域
antonym	特地	順道
antonym	近路	遠道
hyponym	水壩	建築物
antonym	輕度	重
antonym	之后	前
antonym	落	增長
synonym	剎那間	頓時
synonym	當作	當成
antonym	后	之前
hyponym	石化燃料	物質
antonym	前者	后者
nearsynonym	春	夏
synonym	如果	如果說
antonym	祕	露
hyponym	沉醉	醉
hyponym	中央	組織
hyponym	睡覺	逝
hypernym	嫌怨	生氣
synonym	公社	人民公社
hypernym	圳	地方
hyponym	沉痛	悲傷
synonym	列出來	列出
hyponym	臉色	人
nearsynonym	黃	白
synonym	台南	臺南
synonym	洗衣服	洗衣
antonym	那兒	這邊
nearsynonym	商	周
antonym	娘	父親
antonym	壞	良好
synonym	除此以外	除此之外
nearsynonym	包	車
hypernym	次生林	森林
hyponym	世	代
hyponym	金	顏色
nearsynonym	章	目
synonym	嗚呼哀哉	哀哉
nearsynonym	姊姊	弟弟
hyponym	唐	朝代
antonym	這	那裏
hypernym	鼠	動物
nearsynonym	牛	蛇
hypernym	縱	方向
hyponym	教室	建築物
synonym	祇不過	只是
hypernym	桃	地方
hypernym	衛	設施
hypernym	便	解
hypernym	案底	紀錄
synonym	來自於	來自
hypernym	悲慟	悲傷
hypernym	送	賦予
synonym	嗚呼哀哉	嗚呼
nearsynonym	左	后
meronym	種	水中生物
nearsynonym	周	遼
hyponym	初賽	比賽
antonym	簡單	複雜
hyponym	圖畫	作品
synonym	一塊兒	一併
hypernym	可憎	生氣
synonym	便是	就是說
hypernym	脊椎動物	動物
antonym	嚴峻	輕度
hyponym	蓮	植物
nearsynonym	甲	乙
antonym	嘉	孬
nearsynonym	哥	姊
hypernym	美麗	美
nearsynonym	公	伯
hypernym	禮聘	聘
nearsynonym	弟	姊
antonym	秀	陋
antonym	武	文
hyponym	翅	器官
synonym	祇不過	僅
synonym	四川省	四川
antonym	開	終
synonym	了解到	悟
holonym	眼睛	臉
hypernym	旦	時間
hypernym	見到	看
synonym	那兒	那裏
hypernym	河	水域
hyponym	性質	特徵
antonym	之下	之上
synonym	之後	之后
hypernym	看到	看
antonym	忘記	不忘
hyponym	資	才能
synonym	比如說	譬如
antonym	順道	特地
antonym	外面	內部
hyponym	技巧	才能
hyponym	悲情	悲傷
antonym	降	上升
hyponym	音樂	學術
hypernym	東方	地點
nearsynonym	冬	春
antonym	男子	女性
synonym	轉瞬間	轉眼之間
hyponym	求	期望
hypernym	化石燃料	物質
antonym	跌	上昇
synonym	一般而言	一般來說
synonym	找到	找出來
hypernym	見到	視
hyponym	蒜	植物
hyponym	信箱	設備
antonym	太太	丈夫
antonym	臭	香
hyponym	藍	顏色
synonym	客人	客
antonym	前方	後方
hypernym	麵	食物
hyponym	調查局	機構
hypernym	電信局	組織
meronym	課堂	學校
hypernym	細菌	微生物
nearsynonym	南	西
antonym	爆冷門	熱門
hypernym	氣不過	生氣
hyponym	女子	人類
hypernym	趴	休
synonym	躲貓貓	捉迷藏
synonym	小孩子	孩
hypernym	中心	組織
nearsynonym	弟弟	姊姊
nearsynonym	愛	孝
nearsynonym	兵	士
synonym	但是	祇不過
antonym	這邊	那邊
holonym	個人	組織
meronym	史前	時間
antonym	主人	客人
hypernym	汽車	車
hypernym	北大	大學
antonym	右	左邊
antonym	這裡	那裏
hyponym	蕭	植物
hyponym	柚	食物
antonym	不良	良好
meronym	台	亞洲
hypernym	馬	動物
hypernym	制度	法則
meronym	民	國家
synonym	好比	譬如說
hypernym	公頃	單位
hypernym	西方	地方
hypernym	天主教	基督教
synonym	轉眼間	轉眼之間
hyponym	嫌憎	生氣
antonym	裡頭	外面
hypernym	皇	王
nearsynonym	刀	弓
hypernym	期	單位
hypernym	聽到	聽
nearsynonym	牽腸掛肚	眷戀
hyponym	化為	轉變為
antonym	不光	單
hyponym	妹妹	名稱
synonym	沒想到	詎料
hyponym	鋼琴	琴
synonym	之外	除此以外
hypernym	慈	舉止
hypernym	鍵入	輸
hyponym	動物	有機體
hyponym	輩	時間
hyponym	北區	區域
hyponym	美元	金錢
hypernym	膽	舉止
antonym	掉	上升
hyponym	警官	人
hyponym	藝術家	職業
hyponym	山	地形
synonym	傾心	一心一意
hypernym	圖	畫
hypernym	急	事件
hypernym	貼	粘
synonym	輕聲	低聲
antonym	進入	出來
hyponym	刊	作品
synonym	幹什麼	幹麼
antonym	相同	不同
hypernym	化成	成為
hypernym	爸	關係
nearsynonym	評	評價
hypernym	見	看
hyponym	農村	區域
nearsynonym	刀	劍
synonym	吐出	吐出來
nearsynonym	虎	獅
hyponym	贈送	給予
hyponym	惱火	生氣
antonym	來得及	來不及
holonym	嘉年華	文化
synonym	年代	世紀
synonym	稱	秤
hypernym	憤恨	生氣
nearsynonym	尾	角
hyponym	皮包	飾品
nearsynonym	妹妹	弟弟
nearsynonym	大學	小學
hyponym	直流	物理
synonym	江蘇	江蘇省
hypernym	中階	關係
antonym	這裡	那裡
hypernym	住宅	房屋
antonym	國內	外國
hypernym	京	行政區
nearsynonym	唐	秦
nearsynonym	天秤座	雙子座
hyponym	便利	方便
nearsynonym	昨天	今天
hypernym	柴	素材
hyponym	顏色	性質
synonym	有一點	有點兒
hypernym	中正	地方
hypernym	種	栽
synonym	小孩子	小孩
hyponym	放任	任由
hypernym	憎惡	生氣
synonym	有一些	有些
antonym	直	屈
hyponym	佛	宗教
antonym	正	負面
hypernym	用到	用
synonym	不僅僅	非但
hyponym	橋	建築物
hyponym	浮躁	生氣
antonym	以前	後
synonym	有一點點	有些
hypernym	悔恨	生氣
hypernym	銀	顏色
hyponym	屋	建築物
synonym	青少年	少年
hypernym	致使	致
hypernym	歷史	學術
hypernym	轉為	變
synonym	人家	偶
nearsynonym	琴	書
synonym	記錄片	紀錄片
hypernym	領	取
synonym	午後	午后
hyponym	臭	氣味
nearsynonym	公	侯
hypernym	杓子	器具
hypernym	喪	事件
hyponym	紀念品	禮物
meronym	日	時間
hypernym	國小	學校
hypernym	倫	文化
hyponym	悵然	悲傷
antonym	能夠	不能
hyponym	蛋	器官
hypernym	道教	宗教
hypernym	缸	工具
antonym	強	衰
synonym	丰	豐
meronym	條約	契約
nearsynonym	龍	鼠
hypernym	病毒	微生物
antonym	不錯	錯
hypernym	湘	地方
hyponym	陶醉	沈醉
synonym	為什麼	為啥
synonym	師範學院	師範
hyponym	寂寥	悲傷
synonym	給予	予
hyponym	簣	容器
hypernym	知識	文明
synonym	意想不到	沒想到
holonym	條約	合同
hyponym	雕	作品
nearsynonym	哥	姐
antonym	弊	利益
holonym	廣	中國
hyponym	瓜	食物
hyponym	盆地	區域
nearsynonym	晨間	午間
antonym	外面	內
hypernym	換成	易
synonym	這裏	這裡
antonym	提高	減低
nearsynonym	虎	鼠
antonym	偏	正
hyponym	探親	探
hypernym	論語	作品
antonym	熱	冷卻
hypernym	攤	遇上
antonym	因	結果
hyponym	樹	植物
nearsynonym	午	早
hyponym	肩	名稱
hyponym	煩躁	生氣
nearsynonym	山頭	山頂
hypernym	科	課
antonym	軟性	硬
antonym	以后	過往
hypernym	勺	器具
meronym	崗	地形
meronym	骨	身體
hypernym	幼稚園	學校
hypernym	寧	文化
antonym	陋	漂亮
antonym	那邊	這裏
hypernym	皇	君
nearsynonym	今	昨
hypernym	宅	房
synonym	只不過	祇
synonym	大致	大致上
hypernym	看到	視
synonym	警局	警察局
antonym	大幅	狹幅
hyponym	場所	區域
antonym	女人	男人
synonym	一點兒	有些
synonym	互動式	交談式
antonym	以內	以外
hyponym	蒜	食物
hyponym	禪宗	佛教
synonym	認清	認清楚
antonym	下面	上面
nearsynonym	犯愁	煩惱
synonym	大多數	大部份
synonym	全心全意	一心一意
antonym	之外	之內
hypernym	泰	文化
hypernym	族群	族
nearsynonym	兵	炮
antonym	押	釋放
hypernym	尺	單位
hyponym	名牌	牌
antonym	有	無
antonym	降	上昇
synonym	然則	只不過
hyponym	警察	工作
hyponym	音樂	知識
hypernym	桃	食物
hyponym	孩	名稱
antonym	女	男性
synonym	貳	二
hypernym	角	單位
hypernym	靜	狀態
antonym	開	關
synonym	愈來愈	遞
hypernym	身分證	證
synonym	幹什麼	幹嘛
synonym	有些	一點點
antonym	兒子	女兒
antonym	最多	最少
hyponym	谷	地形
antonym	順道	特意
synonym	發出	釋
hypernym	見到	覽
antonym	以外	以內
meronym	後	時間
nearsynonym	衣	行
antonym	不行	行
hypernym	歇	休息
synonym	甚至	以至於
hypernym	燃料	物質
hyponym	導盲犬	狗
hyponym	清	顏色
antonym	低於	高於
antonym	否	好
hypernym	瓦	素材
synonym	惟有	只不過
holonym	芝加哥	美國
hyponym	投資	金錢
hypernym	獎金	獎
hypernym	郎	對象
synonym	省下來	省下
hyponym	春	四季
nearsynonym	龍	羊
antonym	順道	特別
nearsynonym	警員	警官
hypernym	分手	分別
synonym	剎那間	頃
synonym	為甚麼	怎的
hypernym	海藻	藻類
synonym	東西	物
hyponym	惆悵	悲傷
hyponym	怨	情緒
synonym	祇不過	祇是
nearsynonym	見解	看法
hypernym	善	舉止
hyponym	輸給	輸
hypernym	修	美容
antonym	早	夕
antonym	行	不行
synonym	引以為鑑	引以為惕
meronym	牆	建築物
hypernym	化為	變為
synonym	可是	只不過
hyponym	稱呼	叫
synonym	乃至於	乃至
antonym	進去	出
antonym	錯	是
hypernym	肇始	開
hypernym	考	舉止
hyponym	看法	評價
synonym	台北市	台北
hyponym	慕尼黑	城市
hypernym	姓	名稱
meronym	轉瞬間	時間
antonym	單單	不僅僅
synonym	絕大部份	絕大多數
